ID,HomoA,LumoA,GapA,HomoAH,LumoAH,GapAH,HomoAH2,LumoAH2,GapAH2,SMILES,redoxpot1,redoxpot2
001,-7.9848,-3.6582,4.3265,-7.5462,-3.5189,4.0272,-6.0675,-0.4076,5.6599,C1=CC(=O)C=CC1=O,0.9121,1.4667
003,-6.6740,-3.3543,3.3197,-6.6104,-3.0729,3.5374,-5.8577,-0.2250,5.6327,C1=CC(=O)C=C(C1=O)N,0.8415,0.9757
002,-6.3660,-3.3184,3.0476,-6.2117,-3.0280,3.1837,-5.9100,-0.3589,5.5510,C1=CC(=O)C=C(C1=O)N(C)C,0.8053,1.1539
006,-7.1440,-3.6882,3.4558,-6.8373,-3.5720,3.2653,-5.9666,-0.4971,5.4694,C1=CC(=O)C=C(C1=O)S,0.9603,1.3003
005,-7.5521,-3.5521,4.0000,-7.2218,-3.3578,3.8640,-5.9178,-0.1763,5.7415,C1=CC(=O)C=C(C1=O)O,0.8734,1.2891
004,-7.4634,-3.5178,3.9456,-7.1935,-3.3295,3.8640,-5.8670,-0.1527,5.7143,C1=CC(=O)C=C(C1=O)OC,0.8414,1.2870
008,-7.8882,-3.7249,4.1633,-7.5761,-3.6305,3.9456,-6.1481,-0.7603,5.3878,C1=CC(=O)C=C(C1=O)[SiH3],0.9369,1.3346
007,-7.8928,-3.5663,4.3265,-7.4999,-3.4182,4.0816,-5.9676,-0.2805,5.6871,C1=CC(=O)C=C(C1=O)C,0.8694,1.3766
009,-8.2664,-3.7766,4.4898,-7.7252,-3.6163,4.1089,-6.1916,-0.4229,5.7687,C1=CC(=O)C=C(C1=O)F,0.9411,1.4069
010,-8.0526,-3.8076,4.2449,-7.5979,-3.6795,3.9184,-6.2281,-0.6498,5.5783,C1=CC(=O)C=C(C1=O)Cl,0.9600,1.4390
012,-7.7549,-3.9997,3.7551,-7.4721,-3.9619,3.5102,-6.3527,-2.0533,4.2993,C1=CC(=O)C=C(C1=O)C=O,1.0730,1.4912
011,-7.2719,-3.6800,3.5919,-6.9701,-3.5687,3.4014,-5.9856,-1.0876,4.8980,C1=CC(=O)C=C(C1=O)C=C,0.9417,1.3961
013,-8.0493,-3.8860,4.1633,-7.6550,-3.8727,3.7823,-6.2661,-1.6403,4.6259,C1=CC(=O)C=C(C1=O)C(=O)OC,1.2032,1.6550
014,-8.2580,-3.9314,4.3265,-7.8422,-3.8422,4.0000,-6.3524,-0.9918,5.3606,C1=CC(=O)C=C(C1=O)C(F)(F)F,1.0092,1.4315
015,-8.3347,-4.0626,4.2721,-7.9611,-4.0155,3.9456,-6.4115,-1.5407,4.8708,C1=CC(=O)C=C(C1=O)C#N,1.0823,1.5119
018,-8.2817,-4.0368,4.2449,-7.9279,-3.9551,3.9728,-6.4142,-1.1080,5.3061,C1=CC(=O)C=C(C1=O)S([O])(O)[O],1.0094,1.5409
016,-8.1010,-3.8561,4.2449,-8.1170,-4.0898,4.0272,-6.2953,-1.3701,4.9252,C1=CC(=O)C=C(C1=O)C(=O)O,1.3738,1.1834
017,-8.1568,-3.9935,4.1633,-8.0082,-4.0354,3.9728,-6.3369,-0.9491,5.3878,C1=CC(=O)C=C(C1=O)P(=O)(O)O,1.1198,1.3824
019,-8.3557,-4.0563,4.2993,-7.9739,-4.0827,3.8912,-6.5181,-3.0351,3.4830,C1=CC(=O)C=C(C1=O)N(=O)=O,1.1017,1.7954
020,-6.2683,-3.1935,3.0748,-5.9007,-2.7987,3.1021,-5.6057,0.1630,5.7687,C1(=CC(=O)C=C(C1=O)N)N,0.7837,0.7685
021,-6.3187,-2.8084,3.5102,-6.5045,-2.9943,3.5102,-5.5108,-0.0958,5.4150,C1(=CC(=O)C(=CC1=O)N)N,0.1030,0.9978
022,-5.8795,-3.3489,2.5306,-6.4822,-3.0808,3.4014,-5.7695,0.2169,5.9864,C1(=C(C(=O)C=CC1=O)N)N,0.7018,1.0538
023,-5.7083,-2.9056,2.8027,-5.4128,-2.8006,2.6123,-5.5715,0.2517,5.8232,C1(=C(C(=O)C=C(C1=O)N)N)N,0.4091,0.7471
025,-6.0754,-3.1366,2.9388,-5.6038,-2.7739,2.8299,-5.4849,-0.0971,5.3878,C1(=CC(=O)C=C(C1=O)N(C)C)N(C)C,0.7698,0.9757
024,-5.2993,-3.0136,2.2857,-5.3682,-2.7831,2.5850,-4.9766,0.6833,5.6599,C1(=C(C(=O)C(=C(C1=O)N)N)N)N,0.3922,0.6822
026,-5.9924,-2.8087,3.1837,-6.1742,-2.9361,3.2381,-5.7704,-0.3282,5.4422,C1=C(C(=O)C=C(C1=O)N(C)C)N(C)C,0.4017,1.0938
